"Product Code","Product Name",Variant,Expected,Counted
0001,SAMOSA,,0.0000,
0002,KACHORI,,1267.0000,
0003,"KANDA KACHORI",,321.0000,
0007,"BREAD SANDWICH",,164.0000,
0009," PANEER PATTICE",,0.0000,
0012,"PANEER SANDWICH",,234.0000,
0020,"DAHI VADA",,270.0000,
0026,"KHAMAN DHOKLA",,164.0000,
0028,"IDLI DHOKLA",,10.0000,
0031,"MOONGDAL DHOKLA",,12.0000,
0033,KHANDVI,,32.0000,
0098,"VADA MASALA",,113.0000,
0107,"MIX CHUTNEY LOOSE",,20.0000,
0124,"BADAMI HALWA [GREEN]",,250.0000,
0126,"BITES [CHOCOLATE]",,50.0000,
0127,"BITES [ROSE]",,50.0000,
0128,"BITES ORANGE",,150.0000,
0134,"GOLDEN PISTA HALWA",,350.0000,
0150,"DRYFRUIT KALAS",,0.0000,
0190,"KESAR CRUNCH BITES",,20.0000,
0193,"SALTED KAJU LOOSE",,0.0000,
0218,"FAFDA CHUTNEY",,8.0000,
0220,"LOOSE HARA CHUTNEY",,90.0000,
0227,"SAMPLE CODE (DUDHI HALWA)",,0.0000,
0230,"ICE HALWA [PRINCE]",,200.0000,
0278,"DAHI LOOSE",,0.0000,
0286,"FIKA MAWA",,0.0000,
0287,"MITHA MAVA",,0.0000,
0288,"KESAR ANGOORI PETHA",,0.0000,
0318,"PUNJABI MATHRI 250 GM",,0.0000,
0327,"BADAM (MEDIUM) 250 GM",,0.0000,
0459,"GONDA PAK",,0.0000,
0462,"KAJU MYSORE PAK",,0.0000,
0464,"KESAR FENI",,0.0000,
0468,"MAHARAJA HALWA [RED]",,130.0000,
0469,"MALPUA ( PCS)",,0.0000,
0473,"MITHI BUNDI[LOOSE] PURE GHEE",,0.0000,
0505,"FRESH PANEER",,0.0000,
0536,"KAJU SATORI",,0.0000,
0561,"KADAK BUNDI LADOO 200GM",,0.0000,
0564,"SANDWICH BREAD",,0.0000,
0569,"WHITE BREAD 1 KG",,0.0000,
0572,"RAAG PALM 15 KG TIN",,1573.0000,
0574,"POTATO MITHA CHIWADA (400GM)",,0.0000,
0582,"CHOCOLATE CAKE 500 GM",,12.0000,
0583,"CHOCOLATE CAKE 250 GM",,20.0000,
0595,"RASMALAI CAKE 500GM",,2.0000,
0618,"ATTA KHARI 200 GM",,0.0000,
0638,"CHOCOLATE PASTRY",,88.0000,
0650,"CRUNCHI MILK RUSK 200 GM",,0.0000,
0665,"KHASTA KACHORI LOOSE",,0.0000,
0666,"SAGAR NACHOS KHAKHARA",,0.0000,
0668,"BHARTI TAKLU SHRIFAL",,100.0000,
0669,"KEYFOOD STUFFING PLUS",,9.0000,
0701,"SALTED MAKHANA",,0.0000,
0702,"MAKHMAL GATHIYA (LOOSE)",,0.0000,
0704,"MAKHMAL GATHIYA 200g",,0.0000,
0705,"MAKHMAL GATHIYA 400g",,0.0000,
0706,"POTATO TWISTER MASALA 50g",,0.0000,
0707,"POTATO TWISTER SADHA 50g",,0.0000,
0708,"BADA BAKARWADI 1kg",,0.0000,
0709,"BADA BAKARWADI 200g",,0.0000,
0710,"BADA BAKARWADI 500g",,0.0000,
0712,"LASUN BAKARWADI 250g",,0.0000,
0713,"MINI BAKARWADI 1kg",,0.0000,
0714,"MINI BAKARWADI 500g",,0.0000,
0715,"MINI BAKARWADI 250g",,0.0000,
0716,"ROASTED BAKARWADI 1kg",,0.0000,
0717,"ROASTED BAKARWADI 500g",,0.0000,
0718,"ROASTED BAKARWADI 200g",,0.0000,
0719,"TOMATO BINGO 1kg",,0.0000,
0720,"TOMATO BINGO 200g",,0.0000,
0722,"BHAJANI CHAKALI 1kg",,0.0000,
0723,"BHAJANI CHAKALI 200g",,0.0000,
0724,"BUTTER CHAKALI 100g",,0.0000,
0725,"BUTTER CHAKALI 1kg",,0.0000,
0726,"MANCHURIAN CHAKALI 100g",,0.0000,
0727,"MANCHURIAN CHAKALI 1kg",,0.0000,
0728,"METHI CHAKALI 1kg",,0.0000,
0729,"METHI CHAKALI 100g",,0.0000,
0730,"MINI ROASTED CHAKALI 1kg",,0.0000,
0731,"MINI ROASTED CHAKALI 100g",,0.0000,
0732,"NACHANI CHAKALI 100g",,0.0000,
0733,"NACHANI CHAKALI 1kg",,0.0000,
0734,"CHANA DAL FRY 150g",,0.0000,
0735,"CHANA DAL FRY 1kg",,0.0000,
0736,"CHANA JOR 1kg",,0.0000,
0737,"CHANA JOR 150g",,0.0000,
0738,"POTATO MASALA CHIPS 150g",,0.0000,
0739,"POTATO MASALA CHIPS 1kg",,0.0000,
0740,"ITALIAN CHIPS MASALA 50g",,0.0000,
0741,"ITALIAN CHIPS SADHA 50g",,0.0000,
0742,"TRIANGLE PAPAD SADHA 50g",,0.0000,
0743,"TRIANGLE PAPAD MASALA 50g",,0.0000,
0744,"DIET CHIVDA LOOSE",,0.0000,
0745,"DIET CHIVDA 150g",,0.0000,
0746,"KELA FARALI CHIVDA 150g",,0.0000,
0747,"KELA FARALI CHIVDA 1kg",,0.0000,
0748,"MAHALAXMI CHIVDA (LOOSE)",,0.0000,
0749,"MAHALAXMI CHIVDA 1kg",,0.0000,
0750,"MAHALAXMI CHIVDA 200g",,0.0000,
0751,"MAHALAXMI CHIVDA 400g",,0.0000,
0752,"MAKAI CHIVDA (LOOSE)",,0.0000,
0753,"MAKAI CHIVDA 200g",,0.0000,
0754,"MAKAI CHIVDA 400g",,0.0000,
0755,"NACHANI CHIVDA 150g",,0.0000,
0756,"NACHANI CHIVDA 1Kg",,0.0000,
0757,"PAPAD CHIVDA 1kg",,0.0000,
0758,"PAPAD CHIVDA 150g",,0.0000,
0759,"POHA CHIVDA/(BASMATI CHIVDA) 400g",,0.0000,
0760,"POHA CHIVDA/(BASMATI CHIVDA) 150g",,0.0000,
0761,"POHA CHIVDA/(BASMATI CHIVDA) 1kg",,0.0000,
0762,"POHA CHIVDA/(BASMATI CHIVDA)(LOOSE)",,0.0000,
0763,"POTATO MITHA CHIVDA UPWAS(LOOSE)",,0.0000,
0764,"POTATO MITHA CHIVDA (UPWAS) 200g",,0.0000,
0765,"POTATO MITHA CHIVDA (UPWAS) 1kg",,0.0000,
0766,"POTATO TIKHA CHIVDA UPWAS 1kg",,0.0000,
0767,"POTATO TIKHA CHIVDA UPWAS (LOOSE)",,0.0000,
0768,"POTATO TIKHA CHIVDA (UPWAS) 200g",,0.0000,
0769,"SABUDANA MITHA CHIVDA 1kg",,0.0000,
0770,"SABUDANA MITHA CHIVDA 150g",,0.0000,
0771,"SABUDANA MITHA CHIVDA 250g",,0.0000,
0772,"SABUDANA TIKHA CHIVDA 150g",,0.0000,
0773,"SABUDANA TIKHA CHIVDA 1kg",,0.0000,
0774,"SABUDANA TIKHA CHIVDA 250g",,0.0000,
0775,"AGRA DALMOTH (LOOSE)",,0.0000,
0776,"AGRA DALMOTH 1kg",,0.0000,
0777,"AGRA DALMOTH 200g",,0.0000,
0778,"AGRA DALMOTH 400g",,0.0000,
0779,"FAFDA LOOSE",,0.0000,
0780,"FAFDA 100g",,0.0000,
0781,"BANGLORI MIX 200g",,0.0000,
0782,"BANGLORI MIX 400g",,0.0000,
0783,"BANGLORI MIX 1kg",,0.0000,
0784,"BANGLORI MIX LOOSE",,0.0000,
0785,"DRYFRUIT NAMKEEN 1kg",,0.0000,
0786,"GOLDEN FARSAN (LOOSE)",,0.0000,
0787,"GOLDEN FARSAN 1kg",,0.0000,
0788,"GOLDEN FARSAN 200g",,0.0000,
0789,"GOLDEN FARSAN 400g",,0.0000,
0790,"INDORI MIX (LOOSE)",,0.0000,
0791,"INDORI MIX 1kg",,0.0000,
0792,"INDORI MIX 200g",,0.0000,
0793,"INDORI MIX 400g",,0.0000,
0794,"KHATTA MITHA MIX (LOOSE)",,0.0000,
0795,"KHATTA MITHA MIX 1kg",,0.0000,
0796,"KHATTA MITHA MIX 200g",,0.0000,
0797,"KHATTA MITHA MIX 400g",,0.0000,
0799,"LASUN FARSAN (LOOSE)",,0.0000,
0800,"LASUN FARSAN 1kg",,0.0000,
0802,"LASUN FARSAN 400g",,0.0000,
0803,"MADRASI FARSAN (LOOSE)",,0.0000,
0804,"MADRASI FARSAN 1kg",,0.0000,
0805,"MADRASI FARSAN 200g",,0.0000,
0806,"MADRASI FARSAN 400g",,0.0000,
0807,"MIX FARSAN (LOOSE)",,0.0000,
0808,"MIX FARSAN 1kg",,0.0000,
0809,"MIX FARSAN 200g",,0.0000,
0810,"MIX FARSAN 400g",,0.0000,
0811,"NAVRATNA MIX 200g",,0.0000,
0812,"NAVRATNA MIX 400g",,0.0000,
0813,"NAVRATNA MIX 1KG",,0.0000,
0814,"NAVRATNA MIX(LOOSE)",,0.0000,
0815,"POTATO FINGER (SADHA) 50g",,0.0000,
0816,"POTATO FINGER MASALA 50g",,0.0000,
0817,"FUL WADI (1kg)",,0.0000,
0818,"FUL WADI 200g",,0.0000,
0819,"KHASTA KACHORI 1 KG",,0.0000,
0820,"KHASTA KACHORI 200g",,0.0000,
