"Product Code","Product Name",Variant,Expected,Counted
0981,"DRY PATTI SAMOSA 1kg",,0.0000,
1310,"GOLDEN FARSAN (LOOSE)",,0.0000,
1315,"MIX FARSAN (LOOSE)",,0.0000,
1319,"DRYFRUIT SAMOSA LOOSE",,0.0000,
1323,"MASALA JAD SHEV (LOOSE)",,0.0000,
8003,"MOONG DAL POLISH",,0.0000,
8029,"SUGAR MADHOOR 25 KG",,0.0000,
8065,"MAIDA RAMTILAK 50 KG",,0.0000,
8072,"AATA SAMRAT 30 KG",,0.0000,
8073,"AATA SWAD",,0.0000,
8178,"POWDER MIRCHI OM",,0.0000,
8179,"POWDER MIRCHI TAJ",,0.0000,
8188,"POWDER OIL FRYSOLE",,0.0000,
8205,"APPU MIRCHI POWDER",,0.0000,
8237,"BAADSHAH CHAT MASALA 1 KG",,0.0000,
8437,"EGGLESS MAYONEESE PREMIUM",,0.0000,
8463,"PISTA CUTTING 500 GM",,0.0000,
8464,"BADAM CUTTING 500 GM",,0.0000,
8465,"PISTA CUTTING T GREEN 500 GM",,0.0000,
8562,"RICH CREAM 1 KG",,0.0000,
