"Product Code","Product Name",Variant,Expected,Counted
1001,"MINI BAKARWADI 1kg",,54.0000,
1323,"MASALA JAD SHEV (LOOSE)",,35.5000,
8001,"MASOOR DAL",,0.0000,
8002,"MOONG DAL KORA",,0.0000,
8003,"MOONG DAL POLISH",,0.0000,
8008,"UDID DAL",,0.0000,
8015,"OIL SAMRAT (SUNFLOWER) LTR",,0.0000,
8016,"OIL NAMSTE 15 KG",,0.0000,
8027,"SUGAR JIVNA 25 KG",,0.0000,
8028,"SUGAR S-30 50 KG",,0.0000,
8036,"SALT TATA 1 KG",,0.0000,
8037,"SALT BLACK 1 KG",,0.0000,
8045,"GHEE VANASPATI RUCHI GOL 15 KG",,0.0000,
8047,"GHEE GOWARDHAN 10 KG",,0.0000,
8048,"GHEE NAKODA 15 KG",,0.0000,
8052,"GHEE GSM",,0.0000,
8053,"GHEE LILY STAR",,0.0000,
8054,"GHEE MARVO PRIDE",,0.0000,
8061,"MAIDA 56 BHOG 50 KG",,0.0000,
8063,"MAIDA NIMAR GOLD 50 KG",,0.0000,
8064,"MAIDA SANGHVI GOLD 50 KG",,0.0000,
8065,"MAIDA RAMTILAK 50 KG",,0.0000,
8072,"AATA SAMRAT 30 KG",,0.0000,
8073,"AATA SWAD",,0.0000,
8075,"ARRAROOT POWDER",,0.0000,
8079,"BESAN RAJDHANI MOTICHOOR 35 KG",,0.0000,
8080,"BESAN RAJDHANI MOTA 35 KG",,0.0000,
8081,"BESAN SAMRAT 50 KG",,0.0000,
8082,"BESAN KHAMAN GOLD 26 KG",,0.0000,
8090,"CHAVAL KACHHA",,0.0000,
8091,"CHAVAL UKDA PAKKA",,0.0000,
8097,"AAKHA MOONG",,0.0000,
8104,"AAKHA KABULI CHANA",,0.0000,
8111,"SABUT BADISHEP",,0.0000,
8112,"SABUT DHANIYA",,0.0000,
8116,"SABUT LAVANG",,0.0000,
8135,"SABUT AJWAINE",,0.0000,
8137,"SABUT JEERA LOOSE",,0.0000,
8139,"AJWAIN VIVO 500 GM",,0.0000,
8159,"POWDER ELAICHI",,0.0000,
8161,"POWDER DALCHINI",,0.0000,
8163,"POWDER DHANIYA",,0.0000,
8165,"POWDER AMCHOOR",,0.0000,
8168,"POWDER HALDI",,0.0000,
8169,"POWDER CALCIUM",,0.0000,
8170,"POWDER GLUTEN",,0.0000,
8173,"POWDER BADI SHEP",,0.0000,
8175,"POWDER HING RAMAYAN",,0.0000,
8177,"POWDER BLACK PAPER",,0.0000,
8178,"POWDER MIRCHI OM",,0.0000,
8182,"POWDER PILLI MIRCHI",,0.0000,
8183,"POWDER MIRCHI TIGER",,0.0000,
8190,"POWDER CHOCOLATE",,0.0000,
8191,"POWDER COCONUT",,0.0000,
8195,"POWDER SAGAR MILK",,0.0000,
8197,"POWDER PILLSBERRY VANILLA",,0.0000,
8201,"POWDER PILLSBERRY BROWNIE",,0.0000,
8206,"SOMESHWAR MIRCHI POWDER",,0.0000,
8207,"FARSAN MASALA",,0.0000,
8229,"MDH CHUNKY CHAAT MASALA 500 GM",,0.0000,
8230,"MDH KITCHEN KING MASALA 500 GM",,0.0000,
8232,"MDH CHANA MASALA 500 GM",,0.0000,
8233,"MDH GARAM MASALA 500 GM",,0.0000,
8237,"BAADSHAH CHAT MASALA 1 KG",,0.0000,
8238,"BAADSHAH PAVBHAJI MASALA 1 KG",,0.0000,
8240,"BAADSHAH RAJWADI GARAM MASALA 5 KG",,0.0000,
8242,"BAADSHAH JALJIRA MASALA 1 KG",,0.0000,
8273,"GUD DURGA",,0.0000,
8290,"BUSH LEMON YELLOW 100 GM",,0.0000,
8322,DALIYA,,0.0000,
8328,"KEYFOOD SWEET PLUS",,0.0000,
8332,"ANGEL YEAST",,0.0000,
8403,"MALAS ORANGE CRUSH 5 LTR",,0.0000,
8408,"DELMONTE PINEAPPLE SLICE",,0.0000,
8414,"DARK COMPOUND BLOCK",,0.0000,
8421,"BEXTER BLUEBERRY COLD GEL",,0.0000,
8422,"BEXTER NEUTRAL COLD GEL",,0.0000,
8428,"PURATOS COLD GLAZE PINEAPPLE 2.5 KG",,0.0000,
8431,"PURATOS STRAWBERRY COLD GEL",,0.0000,
8436,"DELMONTE TOMATO KETCHUP 950 GM",,0.0000,
8437,"EGGLESS MAYONEESE PREMIUM",,0.0000,
8439,"MANGO PULP MADHURAJA 3 KG",,0.0000,
8443,"CHAI PATTI T STAR",,0.0000,
8447,"NIMBU PHOOL",,0.0000,
8448,"TIL WHITE",,0.0000,
8456,"KEYBRAND ROSE WATER",,0.0000,
8461,"CHINGS GREEN CHILLY SAUCE",,0.0000,
8462,"CHINGS RED CHILLY SAUCE",,0.0000,
8463,"PISTA CUTTING 500 GM",,0.0000,
8464,"BADAM CUTTING 500 GM",,0.0000,
8466,SHENGDANA,,0.0000,
8472,"IMALI BLACK",,0.0000,
8473,"TILL SADHA",,0.0000,
8492,"MITHA SODA TATA SHAKTI 1 KG",,0.0000,
8493,"MITHA SODA TATA 30 GM",,0.0000,
8494,"KHARA SODA WASHING",,0.0000,
8611,"KAJU JK TUKDA",,0.0000,
8615,"KAJU SWP KANI",,0.0000,
8620,"KAJU 240 LOOSE",,0.0000,
8621,"KAJU 320 LOOSE",,0.0000,
8634,"BADAM RUNNING LOOSE",,0.0000,
