"Product Code","Product Name",Variant,Expected,Counted
0323,"MITHA BUNDI LOOSE [DESI GHEE]",,0.0000,
0458,"MALAI CHIKKI 500GM",,10.0000,
0459,"MALAI CHIKKI 250GM",,52.0000,
0503,"ATTA COOKIES 200 GM",,79.0000,
0506,"COCONUT BADAM COOKIES 200 GM",,59.0000,
0507,"IRANI COOKIES 200 GM",,48.0000,
0512,"KESHAR PISTA BADAM COOKIES 200 GM",,78.0000,
0513,"MILK BUTTER COOKIES 200 GM",,27.0000,
0516,"SPECIAL KAJU COOKIES 200 GM",,75.0000,
0517,"BUTTERSCOTCH COOKIES 200GM",,13.0000,
0521,"DOUBLE CHOCO DELITE COOKIES",,89.0000,
0523,"ATTA JAGGREY COOKIES 200GM",,80.0000,
0525,"SUGAR FREE COOKIES 250GM",,22.0000,
0526,"SPECIAL BADAM COOKIES 200GM",,59.0000,
0536,"MASALA KHARI 200 GM",,46.0000,
0540,"PLAIN KHARI 200 GM",,47.0000,
0542,"PLAIN KHARI 300GM",,45.0000,
0545,"TWIST KHARI 200 GM",,32.0000,
0548,"CAKE RUSK 200 GM",,38.0000,
0552,"CRUNCHI JEERA RUSK 200 GM",,22.0000,
0553,"CRUNCHI JEERA RUSK 400 GM",,7.0000,
0554,"CRUNCHI MILK RUSK 200 GM",,58.0000,
0555,"CRUNCHI MILK RUSK 400 GM",,38.0000,
0556,"MINI RUSK 200GM",,42.0000,
0701,"KHASTA KACHORI LOOSE",,2.2000,
0702,"MAKHMAL GATHIYA (LOOSE)",,12.8000,
0704,"MAKAI CHIVDA (LOOSE)",,39.6000,
0706,"POTATO MITHA CHIVDA UPWAS(LOOSE)",,69.0000,
0708,"AGRA DALMOTH (LOOSE)",,7.9000,
0709,"BANGLORI MIX LOOSE",,48.5000,
0711,"INDORI MIX (LOOSE)",,38.4000,
0712,"KHATTA MITHA MIX (LOOSE)",,35.6000,
0714,"MADRASI FARSAN (LOOSE)",,51.4000,
0715,"MIX FARSAN (LOOSE)",,225.1000,
0716,"NAVRATNA MIX(LOOSE)",,88.1000,
0717,"KHARA BUNDI (LOOSE)",,53.0000,
0719,"DRYFRUIT SAMOSA LOOSE",,1.2000,
0720,"BHAVNAGARI SHEV (LOOSE)",,70.5000,
0721,"LASUN SHEV (LOOSE)",,53.2000,
0723,"MASALA JAD SHEV (LOOSE)",,65.2000,
0724,"MISAL SHEV (LOOSE)",,65.6000,
0725,"NYLON SHEV (LOOSE)",,34.2000,
0726,"PILA BARIK SHEV (LOOSE)",,7.9000,
0727,"RATLAMI SHEV (LOOSE)",,58.2000,
0743,"BANANA GOL MIRI WAFERS 100g",,37.0000,
0754,"BANANA YELLOW LONG WAFERS 100g",,12.0000,
