"Product Code","Product Name",Variant,Expected,Counted
0981,"DRY PATTI SAMOSA 1kg",,0.0000,
1310,"GOLDEN FARSAN (LOOSE)",,0.0000,
1315,"MIX FARSAN (LOOSE)",,0.0000,
1319,"DRYFRUIT SAMOSA LOOSE",,0.0000,
1323,"MASALA JAD SHEV (LOOSE)",,0.0000,
1400,"SALTED SHENGDANA LOOSE",,25.0000,
4217,"MAPRO ROSE SHARBAT 750ML",,4.0000,
4239,"MAPRO MANGO CRUSH 750 ML",,4.0000,
4396,"AMUL FRESH CREAM 1 LTR",,2.0000,
5399,"NUTELLA 350GM",,17.0000,
8001,"MASOOR DAL",,30.0000,
8003,"MOONG DAL POLISH",,0.0000,
8004,"MOONG DAL CHILKA",,174.0000,
8005,"CHANA DAL REGULAR",,100.0000,
8006,"CHANA DAL BOLD",,100.0000,
8008,"UDID DAL",,105.0000,
8020,"OIL SARSO 15 KG",,15.0000,
8028,"SUGAR S-30 50 KG",,950.0000,
8029,"SUGAR MADHOOR 25 KG",,0.0000,
8030,"SUGAR PITHI 50 KG",,100.0000,
8036,"SALT TATA 1 KG",,195.0000,
8037,"SALT BLACK 1 KG",,120.0000,
8044,"GHEE VANASPATI RAAG 15 KG",,270.0000,
8045,"GHEE VANASPATI RUCHI GOL 15 KG",,495.0000,
8046,"GHEE VANASPATI LION 15 KG",,120.0000,
8047,"GHEE GOWARDHAN 10 KG",,50.0000,
8048,"GHEE NAKODA 15 KG",,90.0000,
8052,"GHEE GSM",,45.0000,
8053,"GHEE LILY STAR",,30.0000,
8054,"GHEE MARVO PRIDE",,42.0000,
8061,"MAIDA 56 BHOG 50 KG",,2500.0000,
8064,"MAIDA SANGHVI GOLD 50 KG",,600.0000,
8065,"MAIDA RAMTILAK 50 KG",,0.0000,
8072,"AATA SAMRAT 30 KG",,0.0000,
8073,"AATA SWAD",,0.0000,
8075,"ARRAROOT POWDER",,295.0000,
8079,"BESAN RAJDHANI MOTICHOOR 35 KG",,490.0000,
8080,"BESAN RAJDHANI MOTA 35 KG",,70.0000,
8081,"BESAN SAMRAT 50 KG",,250.0000,
8082,"BESAN KHAMAN GOLD 26 KG",,650.0000,
8090,"CHAVAL KACHHA",,90.0000,
