"Product Code","Product Name",Variant,Expected,Counted
8001,"MASOOR DAL",,0.0000,
8005,"CHANA DAL REGULAR",,0.0000,
8015,"OIL SAMRAT (SUNFLOWER) LTR",,600.0000,
8016,"OIL NAMSTE 15 KG",,825.0000,
8017,"OIL RAAG 15 KG",,105.0000,
8028,"SUGAR S-30 50 KG",,250.0000,
8029,"SUGAR MADHOOR 25 KG",,1000.0000,
8030,"SUGAR PITHI 50 KG",,150.0000,
8036,"SALT TATA 1 KG",,1100.0000,
8037,"SALT BLACK 1 KG",,140.0000,
8038,"SALT SAINDHA UPWAS 1 KG",,16.0000,
8044,"GHEE VANASPATI RAAG 15 KG",,270.0000,
8045,"GHEE VANASPATI RUCHI GOL 15 KG",,435.0000,
8046,"GHEE VANASPATI LION 15 KG",,150.0000,
8047,"GHEE GOWARDHAN 10 KG",,220.0000,
8048,"GHEE NAKODA 15 KG",,120.0000,
8061,"MAIDA 56 BHOG 50 KG",,2600.0000,
8063,"MAIDA NIMAR GOLD 50 KG",,350.0000,
8064,"MAIDA SANGHVI GOLD 50 KG",,250.0000,
8065,"MAIDA RAMTILAK 50 KG",,850.0000,
8072,"AATA SAMRAT",,150.0000,
8079,"BESAN RAJDHANI MOTICHOOR 35 KG",,420.0000,
8080,"BESAN RAJDHANI MOTA 35 KG",,630.0000,
8081,"BESAN SAMRAT 50 KG",,250.0000,
8082,"BESAN KHAMAN GOLD 26 KG",,936.0000,
8204,"POWDER ARAROOT",,90.0000,
8254,"IMALI RED",,60.0000,
8306,"NARIYAL TAKLU PANIWALA",,90.0000,
8448,"TIL WHITE",,650.0000,
8466,SHENGDANA,,550.0000,
