Code,Name,Image name,Parent Category Code (optional),Urbanpiper Category,Tax Rate (%)
0%GST,0%GST,,OUTSOURCED ITEMS,,
12%GST,12%GST,,OUTSOURCED ITEMS,,
18%GST,18%GST,,OUTSOURCED ITEMS,,
5%GST,5%GST,,OUTSOURCED ITEMS,,
ACID 18%GST,ACID 18%GST,,RAW MATERIAL,,
ALUWADI 5%GST,ALUWADI 5%GST,,SNACKS & CHAT ITEM,,
ANJEER 12%GST,ANJEER 12%GST,,OUTSOURCED ITEMS,,
ATTA 0%GST,ATTA 0%GST,,RAW MATERIAL,,
ATTA 5%GST,ATTA 5%GST,,RAW MATERIAL,,
BAG 12%GST,BAG 12%GST,,PACKING MATERIAL,,
BAG 18%GST,BAG 18%GST,,PACKING MATERIAL,,
BAKARWADI 12%GST,BAKARWADI 12%GST,,NAMKEEN,,
BAKARWADI 5%GST,BAKARWADI 5%GST,,NAMKEEN,,
BAKERY ITEMS,BAKERY ITEMS,,,,
BANGALI SWEET 5%GST,BANGALI SWEET 5%GST,,SWEETS,,
BESAN 5%GST,BESAN 5%GST,,RAW MATERIAL,,
BHELBHATTA & CHIVDA 0%GST,BHELBHATTA & CHIVDA 0%GST,,OUTSOURCED ITEMS,,
BHELBHATTA & CHIVDA 12%GST,BHELBHATTA & CHIVDA 12%GST,,OUTSOURCED ITEMS,,
BHELBHATTA & CHIVDA 5%GST,BHELBHATTA & CHIVDA 5%GST,,OUTSOURCED ITEMS,,
BINGO 5%GST,BINGO 5%GST,,NAMKEEN,,
BISCUITS 12%GST,BISCUITS 12%GST,,NAMKEEN,,
BISCUITS-O 18%GST,BISCUITS-O 18%GST,,OUTSOURCED ITEMS,,
BOTTLE 18%GST,BOTTLE 18%GST,,PACKING MATERIAL,,
BOWL 18%GST,BOWL 18%GST,,PACKING MATERIAL,,
BOX 12%GST,BOX 12%GST,,PACKING MATERIAL,,
BOX 18%GST,BOX 18%GST,,PACKING MATERIAL,,
BREAD & PAV 0%GST,BREAD & PAV 0%GST,,BAKERY ITEMS,,
BURGER 5%GST,BURGER 5%GST,,SNACKS & CHAT ITEM,,
BUTTER 12%GST,BUTTER 12%GST,,RAW MATERIAL,,
"BUTTER, CHEESE & CREAMS 12%GST","BUTTER, CHEESE & CREAMS 12%GST",,OUTSOURCED ITEMS,,
CAKE 12%GST,CAKE 12%GST,,BAKERY ITEMS,,
CARAMEL 18%GST,CARAMEL 18%GST,,RAW MATERIAL,,
CASHEWS 12%GST,CASHEWS 12%GST,,OUTSOURCED ITEMS,,
CASHEWS 5%GST,CASHEWS 5%GST,,OUTSOURCED ITEMS,,
CATORI 12%GST,CATORI 12%GST,,PACKING MATERIAL,,
CHAKALI 12%GST,CHAKALI 12%GST,,NAMKEEN,,
CHANA 0%GST,CHANA 0%GST,,RAW MATERIAL,,
CHANA JOR 12%GST,CHANA JOR 12%GST,,NAMKEEN,,
CHATNI 5%GST,CHATNI 5%GST,,SNACKS & CHAT ITEM,,
CHAVALI 0%GST,CHAVALI 0%GST,,RAW MATERIAL,,
CHEESE 12%GST,CHEESE 12%GST,,RAW MATERIAL,,
CHEESE BALL 18%GST,CHEESE BALL 18%GST,,OUTSOURCED ITEMS,,
CHERRY 12%GST,CHERRY 12%GST,,RAW MATERIAL,,
CHERRY 5%GST,CHERRY 5%GST,,RAW MATERIAL,,
CHIPS 0%GST,CHIPS 0%GST,,NAMKEEN,,
CHIPS 12%,CHIPS 12%,,NAMKEEN,,
CHIVDA 12%GST,CHIVDA 12%GST,,NAMKEEN,,
CHIVDA 5%GST,CHIVDA 5%GST,,NAMKEEN,,
CHOCOLATE BISCUIT-O 18%GST,CHOCOLATE BISCUIT-O 18%GST,,OUTSOURCED ITEMS,,
CHOCOLATES -O 18%GST,CHOCOLATES -O 18%GST,,OUTSOURCED ITEMS,,
CHOCOLATES-O 5%GST,CHOCOLATES-O 5%GST,,OUTSOURCED ITEMS,,
CHUTNEY -O 5%GST,CHUTNEY -O 5%GST,,OUTSOURCED ITEMS,,
CHUTNEY 5%GST,CHUTNEY 5%GST,,SNACKS & CHAT ITEM,,
CLOTH 5%GST,CLOTH 5%GST,,PACKING MATERIAL,,
COCONUT 0%GST,COCONUT 0%GST,,RAW MATERIAL,,
COLD DRINK 18%GST,COLD DRINK 18%GST,,OUTSOURCED ITEMS,,
COLD GEL 18%GST,COLD GEL 18%GST,,RAW MATERIAL,,
